date,signal,observation,market_health_use,source_url
"2022-10-11","account_funding","CFTC says two anonymous Mango accounts were funded with $5M USDC each before the matched MNGO-USDC swap positions","Fresh matched accounts with equal funding should be linked before their marks become borrowable collateral","https://www.cftc.gov/media/8046/enfeisenbergcomplaint010923/download"
"2022-10-11","matched_swaps","CFTC says one account opened a leveraged long and the other a matching short of more than 400M MNGO-USDC swaps at about $0.04","Large offsetting positions in a thin underlying can be wash-trade or self-trade risk when one side gets credit value","https://www.cftc.gov/media/8046/enfeisenbergcomplaint010923/download"
"2022-10-11","perp_size","Solidus Labs reconstructs a 483M MNGO-PERP buy at 18:25 EST","Perp open interest should be compared with underlying spot depth before profits are creditable","https://www.soliduslabs.com/post/mango-hack"
"2022-10-11","oracle_exchange_volume","CFTC says one oracle exchange saw more than 1M MNGO bought in about 30 minutes versus historical average volume of about 120000 MNGO per hour","Oracle-source volume shocks should quarantine dependent collateral marks","https://www.cftc.gov/media/8046/enfeisenbergcomplaint010923/download"
"2022-10-11","oracle_exchange_prices","CFTC says MNGO moved from about $0.04 to $0.45 on one oracle exchange and to about $0.13 and $0.91 on two others","Wide venue dispersion during concentrated buying should be treated as a manipulation-risk input","https://www.cftc.gov/media/8046/enfeisenbergcomplaint010923/download"
"2022-10-11","mango_swap_mark","CFTC says the Mango MNGO-USDC swap price rose from about $0.04 to about $0.54 during the incident window","Derivative marks tied to thin-token spot moves need delayed collateral eligibility","https://www.cftc.gov/media/8046/enfeisenbergcomplaint010923/download"
"2022-10-11","collateral_revaluation","CFTC says the long MNGO-USDC swap value rose from about $19M to more than $200M","Unrealized thin-market PnL should not immediately increase borrow limits at full value","https://www.cftc.gov/media/8046/enfeisenbergcomplaint010923/download"
"2022-10-11","borrowout","CFTC says the trader borrowed $114M in USDC USDT and other assets comprising all available lending liquidity","Cross-asset reserve depletion following one mark shock should trigger a platform-level pause","https://www.cftc.gov/media/8046/enfeisenbergcomplaint010923/download"
"2022-10-11","platform_loss","SEC says approximately $116M was borrowed and withdrawn from Mango Markets effectively draining all available assets","Borrowout impact should be measured by platform liquidity lost not only attacker retained value","https://www.sec.gov/newsroom/press-releases/2023-13"
"2022-10-11","timeline","DNI records funding at 10:19 PM UTC matched perp activity at 10:25 PM UTC external MNGO buying at 10:26 PM UTC and a $116M loan at 10:45 PM UTC","The short interval supports automated detection based on linked cross-module actions","https://dn.institute/research/cyberattacks/incidents/2022-10-11-mango-markets/"
"2022-10-12","price_collapse","CFTC says MNGO quickly dropped to about $0.02 after the manipulation stopped","Post-event collapse confirms the mark was not durable enough to support full borrow value","https://www.cftc.gov/media/8046/enfeisenbergcomplaint010923/download"
"2022-10-13","partial_return","DNI reports approximately $67M was returned after the exploit","Recovery accounting should be separated from pre-loss surveillance controls","https://dn.institute/research/cyberattacks/incidents/2022-10-11-mango-markets/"
