event_date,event,entities,reported_metric,market_health_signal,source
2019-11,Alleged scheme period begins,Traders Domain FX Ltd.; The Traders Domain,CFTC said the alleged scheme operated from at least November 2019,Trading and customer ledgers needed reconstruction from inception,CFTC press release 8997-24
2019 to 2024,Customer deposits collected,Traders Domain; sponsor defendants,CFTC alleged more than 2000 customers deposited at least 283 million USD,Deposit scale required bank wallet and processor reconciliation,CFTC press release 8997-24
2019 to 2024,XAU/USD trading promoted,Traders Domain; customers,CFTC alleged funds were solicited for leveraged or margined retail commodity transactions including XAU/USD,Specific market claims required venue-level trade proof,CFTC press release 8997-24
2022-09,Withdrawal stress begins,Traders Domain customers,CFTC alleged customers began experiencing extreme withdrawal delays or inability to withdraw in fall 2022,Liquidity stress required cash and position verification,CFTC press release 8997-24
2022 to 2023,Sponsor solicitation continued,Sponsor defendants,CFTC alleged sponsor defendants continued soliciting funds for more than six months after withdrawal issues appeared,New deposits during withdrawal stress indicated elevated risk,CFTC press release 8997-24
2024-09-30,CFTC complaint filed,CFTC; Traders Domain; sponsor defendants,CFTC filed complaint alleging fraud misappropriation falsified trading records and sponsor misconduct,Public enforcement challenged hub and sponsor representations,CFTC case page
2024-10-03,Statutory restraining order entered,CFTC; Traders Domain defendants,Court froze assets and gave CFTC immediate access to books and records,Emergency relief preserved books records and assets,CFTC press release 8997-24
2024-10-15,CFTC charges announced,CFTC; Traders Domain defendants,CFTC announced charges involving a 280 million USD Ponzi scheme,Public release summarized scheme scale,CFTC press release 8997-24
2025-06-03,CFTC customer alert issued,CFTC; Traders Domain customers,CFTC alerted customers that the claims process would end July 28 2025,Customer-loss accounting moved into court-supervised claims,CFTC press release 9083-25
2025-07-28,Claims process deadline,Traders Domain customers,CFTC said an official claim had to be filed by the deadline for possible future judgment eligibility,Claim eligibility depended on formal filings not informal surveys,CFTC press release 9083-25
