signal,date,entity,value,unit,source,market_health_reading
ftt_balance_sheet_exposure,2022-11-02,Alameda Research,5.82,billion_usd,https://www.coindesk.com/business/2022/11/02/divisions-in-sam-bankman-frieds-crypto-empire-blur-on-his-trading-titan-alamedas-balance-sheet,Combined unlocked FTT and FTT collateral were a large share of reported assets
unlocked_ftt,2022-11-02,Alameda Research,3.66,billion_usd,https://www.coindesk.com/business/2022/11/02/divisions-in-sam-bankman-frieds-crypto-empire-blur-on-his-trading-titan-alamedas-balance-sheet,Unlocked affiliated-token exposure created direct price and liquidity sensitivity
ftt_collateral,2022-11-02,Alameda Research,2.16,billion_usd,https://www.coindesk.com/business/2022/11/02/divisions-in-sam-bankman-frieds-crypto-empire-blur-on-his-trading-titan-alamedas-balance-sheet,FTT collateral created circular risk between token value and borrow capacity
reported_asset_base,2022-11-02,Alameda Research,14.6,billion_usd,https://www.coindesk.com/business/2022/11/02/divisions-in-sam-bankman-frieds-crypto-empire-blur-on-his-trading-titan-alamedas-balance-sheet,Use total reported assets as denominator for affiliated-token concentration
binance_exit_position,2022-11-06,Binance,2.1,billion_usd,https://www.coindesk.com/business/2022/11/06/binance-sells-holdings-of-ftx-token-as-alameda-ceo-defends-firms-financial-condition,Large holder sale overhang was a public market-depth and confidence shock
withdrawal_contagion,2022-11-07,FTX,1,qualitative,https://arstechnica.com/tech-policy/2022/11/ftx-on-brink-of-collapse-after-binance-abandons-rescue/,FTT uncertainty became customer withdrawal pressure and venue-liquidity stress
alleged_price_support,2022-12-22,FTT,1,regulatory_allegation,https://www.cftc.gov/PressRoom/PressReleases/8638-22,Regulator allegations reinforced the need to discount thin related-party token prices
affiliated_token_share,2022-11-02,Alameda Research,39.9,percent,derived from CoinDesk reported 5.82B FTT exposure and 14.6B reported assets,Related-party token exposure exceeded the 25 percent hard-exclusion threshold proposed in the article
binance_overhang_to_ftt_exposure,2022-11-06,Binance,36.1,percent,derived from CoinDesk reported 2.1B Binance exit consideration and 5.82B Alameda FTT-linked exposure,Major-holder sale overhang was large enough to require immediate collateral re-marking
seventy_five_pct_ftt_shock_asset_erosion,2022-11-02,Alameda Research,29.9,percent,stress-test derived from 75 percent shock to 5.82B FTT exposure versus 14.6B assets,A severe but simple FTT mark shock could erase nearly 30 percent of reported assets before second-order losses
