time_utc,signal,observed_value,derived_metric,market_health_meaning,source_url
2025-04-13 23:31:59,initial_funding,"SlowMist reports initial Ethereum funding before the exploit setup","Pre-attack funding signal","Funding-to-deployment timing can seed cross-chain exploit monitoring",https://slowmist.medium.com/slowmist-assists-kiloex-in-recovering-all-stolen-funds-incident-recap-273d10f6d466
2025-04-14 18:27:43,bsc_contract_deployment,"SlowMist lists attacker contract deployment on BSC","Operational setup before price manipulation","Deployment of new executor contracts near trading anomalies should raise risk score",https://slowmist.medium.com/slowmist-assists-kiloex-in-recovering-all-stolen-funds-incident-recap-273d10f6d466
2025-04-14 18:36:55,base_contract_deployment,"SlowMist lists attacker contract deployment on Base","Second-chain setup","Repeated deployments across chains indicate platform-wide blast radius",https://slowmist.medium.com/slowmist-assists-kiloex-in-recovering-all-stolen-funds-incident-recap-273d10f6d466
2025-04-14 18:52:27,bsc_attack_execution,"SlowMist reports BSC exploit execution using MinimalForwarder execute path","First listed chain execution","Public forwarder reachability into price-setting logic is a market-integrity failure",https://slowmist.medium.com/slowmist-assists-kiloex-in-recovering-all-stolen-funds-incident-recap-273d10f6d466
2025-04-14 19:36:49,opbnb_contract_deployment,"SlowMist lists opBNB attacker contract deployment","Late setup before further execution","Cross-chain replication should trigger sibling-deployment pause logic",https://slowmist.medium.com/slowmist-assists-kiloex-in-recovering-all-stolen-funds-incident-recap-273d10f6d466
2025-04-14 19:40:49,opbnb_attack_execution,"SlowMist reports opBNB exploit execution using the same general path","About 48 minutes after first listed BSC attack","Shared executor failures should be controlled across deployments, not isolated per chain",https://slowmist.medium.com/slowmist-assists-kiloex-in-recovering-all-stolen-funds-incident-recap-273d10f6d466
2025-04-14,artificial_eth_price_path,"Halborn says ETH positions were opened near $100 and closed near $10,000","About 100x open-to-close price gap","Same-position price gaps of this scale should fail closed before settlement",https://www.halborn.com/blog/post/explained-the-kiloex-hack-april-2025
2025-04-14,artificial_btc_price_path,"Halborn says BTC positions were opened near $1,000 and closed near $100,000","About 100x open-to-close price gap","Asset-specific volatility bands should reject impossible entry-exit transitions",https://www.halborn.com/blog/post/explained-the-kiloex-hack-april-2025
2025-04-14,artificial_bnb_price_path,"Halborn says BNB positions were opened near $10 and closed near $1,000","About 100x open-to-close price gap","Manipulated oracle state should be detected from entry and exit prices alone",https://www.halborn.com/blog/post/explained-the-kiloex-hack-april-2025
2025-04-14,loss_estimate,"Cointelegraph reported a $7M-plus hack and The Block reported about $7.5M before full recovery","Material economic impact","Loss estimates confirm economic severity, but response controls should trigger on price anomalies first",https://cointelegraph.com/news/kiloex-compensation-plan-7-million-hack-april
2025-04-18,funds_recovered,"Cointelegraph reported the KiloEx hacker returned all stolen funds after the exploit","Recovery after incident","Recovery does not remove the need for pre-settlement price-integrity controls",https://cointelegraph.com/news/kiloex-hacker-returns-all-stolen-funds
