event_date,event,entities,reported_metric,market_health_signal,source
2016-06,PrimeFX solicitation period begins,Prime FX; Primefx.org; Uduakobong Udo Inyangudo,CFTC alleged PrimeFX solicited U.S. and international customers for purported forex and Bitcoin trading beginning around June 2016,Trading claims required deposit-to-execution reconciliation,CFTC complaint
2016-2019,Dashboard account activity shown,Prime FX; Primefx.org,CFTC alleged customers could view balances and transactions on the PrimeFX website but the records did not reflect actual trades or profits,Dashboard records needed external broker or exchange confirmation,CFTC complaint
2016-2019,Guaranteed-return plans promoted,Prime FX,CFTC complaint alleged zero-risk plans monthly returns above 27 percent and Bitcoin plans with daily profit claims,Fixed high returns required realized-P&L and drawdown proof,CFTC complaint
2016-2019,False regulatory status promoted,Prime FX; CySEC,CFTC complaint alleged PrimeFX claimed CySEC oversight and used a license number that did not belong to PrimeFX,License claims needed direct regulator and entity-name verification,CFTC complaint
2016-2019,Third-party deposit routing used,Prime FX; care@primefx.org; PrimeFX agents,CFTC alleged emails directed customers to deposit funds into personal bank accounts of defendants and other agents,Personal-account routing weakened custody and trading-activity claims,CFTC complaint
2018-09,U.K. company registration,PrimeFX Managed System Ltd.,CFTC complaint said PrimeFX Managed System Ltd. was registered in the United Kingdom in September 2018,Entity-history claims needed registry-date reconciliation,CFTC complaint
2020-02,U.K. company dissolved,PrimeFX Managed System Ltd.,CFTC complaint said the U.K. company was dissolved in February 2020,Corporate status needed current registry verification,CFTC complaint
2021-09-30,CFTC enforcement action announced,CFTC; Prime FX; PrimeFX defendants,CFTC announced a civil enforcement action alleging more than 1.2 million USD misappropriated from at least 106 customers,Public enforcement challenged the trading and fund-use narrative,CFTC press release 8441-21
2024-06-12,Default final judgment entered,Daniell Liggins; Victor Edeh,Court records show default final judgments against Daniell Liggins and Victor Edeh,Liability findings converted part of the enforcement record into court remedies,vLex court record
2024-07-19,Default final judgment entered,Tochukwu Edeh,Court records show default final judgment against Tochukwu Edeh,Personal-account recipient records supported defendant-specific remedies,CaseMine court record
2025-03-19,Summary judgment granted,Charles A. Ochi,The court granted CFTC summary judgment against Charles Ochi and ordered 27945 USD restitution plus 83835 USD civil monetary penalty,Ochi remedies tied traced receipts to restitution and deterrence,Justia docket filing 101
