date,signal,observation,market_health_use,source_url
"2022-12-10","exploit_transaction","NomosLabs identifies Arbitrum tx 0xc523c6307b025ebd9aef155ba792d1ba18d5d83f97c7a846f267d3d9a3004e8c at block 45121904","Transaction and block anchor the incident for replay and timing analysis","https://nomoslabs.io/archive/lodestar-finance-2022"
"2022-12-10","reported_loss","NomosLabs classifies the Lodestar loss at $6.5M","Loss size confirms the oracle path created material pool-wide market risk","https://nomoslabs.io/archive/lodestar-finance-2022"
"2022-12-10","flash_liquidity","CertiK reports roughly $70.5M across eight flash loans funding the exploit sequence","Flash-funded collateral loops should require higher confirmation and stricter collateral activation checks","https://www.certik.com/skynet-report/lodestar-finance-incident-analysis"
"2022-12-10","exchange_rate_start","CertiK reports a beginning plvGLP-related price ratio of 1.07","Baseline ratio provides a pre-shock anchor for oracle velocity controls","https://www.certik.com/skynet-report/lodestar-finance-incident-analysis"
"2022-12-10","exchange_rate_end","CertiK reports an end price ratio of 1.82 and Cointelegraph reports Lodestar described 1.83 GLP per plvGLP","A roughly 70% exchange-rate jump should trigger a collateral pause before new borrowing","https://www.certik.com/skynet-report/lodestar-finance-incident-analysis"
"2022-12-10","oracle_formula","CertiK describes Lodestar's GLPOracle as using GLP price and the plvGLP exchange-rate ratio derived from totalAssets over totalSupply","Vault-share accounting ratios need donation-aware guards before they become borrowable collateral marks","https://www.certik.com/skynet-report/lodestar-finance-incident-analysis"
"2022-12-10","borrowout","Cointelegraph reports the attacker supplied plvGLP collateral and borrowed all available liquidity until collateralization checks stopped a full cashout","Cross-market reserve depletion after one collateral-ratio shock is a linked market-health alert","https://cointelegraph.com/news/lodestar-finance-exploited-in-flash-loan-attack"
"2022-12-10","bad_debt","CertiK says Lodestar was left with more than $6M in bad debt after the oracle manipulation","Bad debt shows the manipulated mark exceeded the economically realizable collateral value","https://www.certik.com/skynet-report/lodestar-finance-incident-analysis"
"2022-12-10","attacker_profit","Cointelegraph reports about $5.8M in attacker profit after GLP was burned and stolen funds were netted","Profit should be separated from protocol loss when measuring impact and recovery state","https://cointelegraph.com/news/lodestar-finance-exploited-in-flash-loan-attack"
"2022-12-10","recoverable_glp","Cointelegraph reports nearly 2.8M GLP worth about $2.4M was recoverable for depositors","Recovery value does not remove the need to monitor pre-loss collateral-ratio shocks","https://cointelegraph.com/news/lodestar-finance-exploited-in-flash-loan-attack"
"2022-12-10","redeemed_eth","CertiK reports the exploiter redeemed underlying assets for roughly 4527 ETH worth about $5.74M","Asset-unit tracing helps distinguish bad debt, recovery, and attacker-retained value","https://www.certik.com/skynet-report/lodestar-finance-incident-analysis"
