event_date,event,entities,reported_metric,market_health_signal,source
2020-10,Fundsz began operations,Fundsz,CFTC complaint said Fundsz began operation around October 2020,Platform launch started the relevant solicitation period,CFTC complaint
2020-2023,Participant solicitation period,Fundsz; Rene Larralde; Juan Pablo Valcarce; Brian Early; Alisha Ann Kingrey,CFTC alleged defendants solicited more than 14000 participants to purportedly trade crypto and precious metals,Participant scale required books ledgers and custody controls,CFTC complaint
2020-2023,Weekly return claim promoted,Fundsz,CFTC alleged Fundsz claimed more than 3 percent average weekly returns,Stable weekly gains required trade-level proof,CFTC press release 8766-23
2020-2023,Historical performance claim promoted,Fundsz,CFTC alleged Fundsz reported weekly performance generally between about 2.90 percent and 3.55 percent,Return smoothness needed comparison with market volatility,CFTC complaint
2022-07-26,Compounding calculator promoted,Fundsz; Alisha Ann Kingrey,CFTC complaint described examples where 589 USD could become over 300000 USD and 10000 USD could become over 5 million USD in four years,Projection math required realized-return support,CFTC complaint
2022-10-31,Annual passive return represented,Fundsz; Brian Early,CFTC complaint said Early represented a passive return of 365 percent per year,Annualized claims required loss-history and P&L proof,CFTC complaint
2023-06-30,Weekly dashboard return announced,Fundsz,CFTC complaint said Fundsz announced a 3.07 percent weekly return and adjusted account balances upward,Scheduled balance updates needed reconciliation to trading profits,CFTC complaint
2023-07-31,CFTC complaint filed,CFTC; Fundsz; Individual defendants,CFTC filed complaint alleging fraudulent solicitation and fictional weekly returns,Public enforcement challenged the trading narrative,CFTC complaint
2023-08-02,Statutory restraining order entered,CFTC; Fundsz; Individual defendants,Court froze assets preserved records and appointed a temporary receiver,Emergency relief focused on preserving customer-redress evidence,CFTC statutory restraining order
2023-08-11,CFTC charges announced,CFTC; Fundsz,CFTC announced complaint and asset freeze in ongoing cryptocurrency and precious metals fraud case,Public notice summarized alleged trading and reporting issues,CFTC press release 8766-23
